rank,ema,atr_period,sl_mult,tp_mult,hours,tr_trades,tr_wr,tr_pf,tr_dd,tr_monthly,te_trades,te_wr,te_pf,te_dd,te_monthly,score
0,9/42/200,20,2.5,4.0,7-16h,64,53.1,1.807,-3.9%,2.24,-,-,-,-,-,0.6379
0,9/42/80,14,2.5,3.5,7-16h,73,56.2,1.777,-5.3%,2.34,28,42.9,1.039,-6.1%,0.16,0.6374
0,9/34/200,10,2.0,4.0,7-16h,72,45.8,1.707,-5.9%,2.49,-,-,-,-,-,0.6373
0,9/34/100,14,2.0,3.0,6-17h,99,51.5,1.622,-5.9%,2.65,-,-,-,-,-,0.637
0,5/42/100,10,3.0,3.5,6-17h,70,61.4,1.874,-4.6%,2.12,25,44.0,0.906,-3.8%,-0.34,0.6367
0,5/42/80,10,2.5,4.0,6-17h,82,51.2,1.724,-7.9%,2.52,29,44.8,1.289,-3.0%,1.21,0.6365
0,12/42/80,14,2.0,3.5,7-16h,87,48.3,1.651,-7.7%,2.65,23,39.1,1.11,-3.9%,0.4,0.6363
0,9/34/200,14,2.0,4.0,7-16h,72,45.8,1.697,-5.9%,2.49,-,-,-,-,-,0.6359
0,9/34/150,14,2.0,3.5,6-17h,85,48.2,1.654,-5.9%,2.57,-,-,-,-,-,0.6358
0,5/42/80,10,3.0,3.5,6-17h,72,61.1,1.856,-4.6%,2.14,28,50.0,1.157,-3.5%,0.57,0.6357
0,9/34/150,20,2.0,3.5,7-16h,80,48.8,1.679,-5.9%,2.52,-,-,-,-,-,0.6356
0,15/42/80,10,3.0,4.0,7-16h,52,59.6,1.981,-3.0%,1.84,22,50.0,1.313,-4.9%,0.93,0.6355
0,5/50/100,20,2.5,4.0,6-17h,89,50.6,1.654,-7.0%,2.6,25,48.0,1.463,-3.0%,1.6,0.6349
0,12/26/150,10,2.0,4.0,7-16h,75,45.3,1.677,-5.0%,2.48,-,-,-,-,-,0.6347
0,12/50/100,10,2.5,4.0,7-16h,62,53.2,1.836,-5.5%,2.18,22,50.0,1.581,-3.0%,1.72,0.6335
0,15/42/80,14,2.0,3.5,0-23h,125,45.6,1.503,-10.1%,2.97,47,38.3,1.075,-7.0%,0.55,0.6332
0,15/26/100,14,2.5,4.0,7-16h,62,53.2,1.857,-7.2%,2.18,-,-,-,-,-,0.6322
0,15/42/100,14,2.0,3.5,0-23h,115,46.1,1.525,-8.8%,2.87,43,41.9,1.255,-6.4%,1.63,0.6322
0,5/50/150,10,2.0,4.0,7-16h,80,45.0,1.649,-7.7%,2.59,26,46.2,1.685,-2.0%,2.64,0.6318
0,9/34/80,10,2.5,4.0,6-17h,80,51.2,1.706,-7.5%,2.46,21,52.4,1.755,-3.0%,2.0,0.6308
0,15/42/100,14,3.0,3.5,0-23h,74,60.8,1.796,-3.9%,2.16,37,45.9,0.98,-5.6%,-0.1,0.6308
0,15/26/100,14,2.0,4.0,7-16h,75,45.3,1.714,-8.7%,2.48,-,-,-,-,-,0.6303
0,15/26/100,20,3.0,4.0,6-17h,78,56.4,1.74,-4.3%,2.27,-,-,-,-,-,0.6302
0,9/42/80,14,2.5,3.0,7-16h,85,58.8,1.703,-3.6%,2.31,29,44.8,0.963,-6.4%,-0.15,0.6298
0,15/34/80,14,2.5,3.5,7-16h,74,55.4,1.742,-3.9%,2.24,-,-,-,-,-,0.6292
0,9/42/100,14,2.5,3.5,6-17h,76,55.3,1.723,-4.2%,2.28,24,45.8,1.173,-3.9%,0.58,0.6289
0,15/26/80,14,2.5,3.5,0-23h,115,52.2,1.519,-5.1%,2.7,37,45.9,1.181,-5.9%,0.93,0.6287
0,15/26/100,10,2.5,3.5,6-17h,74,55.4,1.762,-5.3%,2.24,-,-,-,-,-,0.6284
0,5/50/100,14,3.0,4.0,6-17h,76,56.6,1.741,-4.0%,2.23,22,54.5,1.589,-2.0%,1.56,0.6283
0,12/50/80,14,3.0,4.0,6-17h,66,57.6,1.806,-3.0%,2.07,24,50.0,1.321,-3.9%,1.01,0.6283
0,15/26/80,10,2.0,4.0,7-16h,75,45.3,1.714,-9.6%,2.48,22,50.0,2.011,-3.0%,2.94,0.628
0,15/42/80,10,3.0,3.5,0-23h,84,59.5,1.732,-3.9%,2.24,39,41.0,0.797,-8.6%,-1.16,0.6279
0,15/26/100,20,3.0,4.0,0-23h,97,54.6,1.616,-4.3%,2.47,25,52.0,1.43,-5.2%,1.37,0.6276
0,9/34/80,14,2.5,4.0,6-17h,85,50.6,1.653,-6.5%,2.47,22,54.5,1.93,-3.0%,2.44,0.6271
0,15/26/100,20,2.0,3.5,7-16h,78,48.7,1.684,-7.3%,2.44,-,-,-,-,-,0.6271
0,9/34/80,20,2.0,3.5,7-16h,93,47.3,1.581,-6.1%,2.59,21,57.1,2.335,-2.0%,3.24,0.6268
0,5/42/150,14,2.5,4.0,7-16h,67,52.2,1.749,-3.9%,2.19,23,52.2,1.724,-2.0%,2.16,0.6266
0,15/42/100,10,3.0,3.5,7-16h,49,63.3,2.005,-2.0%,1.63,21,52.4,1.269,-3.0%,0.71,0.6265
0,5/42/80,10,3.0,4.0,6-17h,68,57.4,1.831,-5.9%,2.1,28,50.0,1.325,-3.0%,1.19,0.6264
0,5/50/80,20,2.5,4.0,6-17h,92,50.0,1.633,-8.0%,2.55,26,46.2,1.372,-6.1%,1.32,0.6263
0,12/26/150,20,2.0,4.0,7-16h,78,44.9,1.614,-5.0%,2.48,-,-,-,-,-,0.6263
0,5/42/100,10,2.5,4.0,6-17h,83,50.6,1.657,-5.5%,2.41,26,42.3,1.159,-3.4%,0.63,0.6259
0,5/50/100,14,2.5,4.0,7-16h,83,50.6,1.646,-4.9%,2.41,24,45.8,1.337,-2.4%,1.17,0.6259
0,5/42/150,20,2.5,4.0,6-17h,74,51.4,1.719,-4.9%,2.27,25,44.0,1.241,-3.9%,0.9,0.6258
0,12/42/80,14,2.5,4.0,6-17h,83,50.6,1.656,-5.5%,2.41,23,34.8,0.837,-7.6%,-0.61,0.6256
0,9/42/80,10,3.0,3.5,7-16h,58,62.1,1.922,-3.0%,1.81,25,44.0,0.905,-6.7%,-0.34,0.6255
0,5/50/150,14,2.5,4.0,6-17h,74,51.4,1.693,-3.9%,2.27,23,52.2,1.721,-2.4%,2.16,0.6248
0,12/26/150,14,2.5,4.0,7-16h,67,52.2,1.761,-5.3%,2.19,-,-,-,-,-,0.6248
0,9/34/100,20,3.0,4.0,6-17h,78,56.4,1.722,-5.5%,2.27,-,-,-,-,-,0.6246
0,9/34/80,14,2.5,3.5,6-17h,89,53.9,1.656,-6.3%,2.42,22,54.5,1.682,-3.0%,1.78,0.6245
0,9/42/100,14,2.5,3.5,7-16h,70,55.7,1.753,-4.2%,2.16,24,45.8,1.173,-3.9%,0.58,0.6245
0,12/42/100,14,2.5,3.5,7-16h,72,55.6,1.741,-4.9%,2.2,-,-,-,-,-,0.6239
0,9/42/80,10,3.0,3.0,6-17h,76,64.5,1.8,-3.0%,2.01,26,42.3,0.718,-8.7%,-1.05,0.6232
0,15/26/80,10,2.5,4.0,0-23h,104,49.0,1.542,-7.4%,2.65,35,42.9,1.191,-7.0%,0.98,0.6225
0,12/26/150,14,2.0,4.0,6-17h,81,44.4,1.602,-5.9%,2.48,-,-,-,-,-,0.6224
0,9/34/150,20,2.0,3.5,6-17h,86,47.7,1.607,-5.9%,2.46,-,-,-,-,-,0.6218
0,12/42/80,14,2.5,4.0,7-16h,74,51.4,1.686,-4.9%,2.27,20,45.0,1.295,-3.0%,0.85,0.6214
0,9/34/80,20,2.0,3.5,6-17h,101,46.5,1.533,-6.4%,2.61,24,54.2,2.069,-3.0%,3.16,0.6212
0,12/26/100,14,2.0,4.0,7-16h,78,44.9,1.628,-7.8%,2.48,-,-,-,-,-,0.6212
0,5/50/150,10,2.5,4.0,6-17h,72,51.4,1.697,-3.9%,2.21,22,54.5,1.893,-2.4%,2.44,0.6211
0,5/50/150,10,2.5,4.0,0-23h,93,49.5,1.571,-3.9%,2.45,30,46.7,1.38,-4.3%,1.64,0.6211
0,15/26/80,14,2.5,4.0,0-23h,109,48.6,1.51,-7.2%,2.67,36,47.2,1.429,-5.9%,2.13,0.6203
0,15/42/100,14,3.0,4.0,7-16h,49,59.2,1.935,-2.0%,1.67,20,55.0,1.616,-3.0%,1.47,0.6199
0,12/42/80,14,2.5,3.5,0-23h,107,52.3,1.565,-6.5%,2.53,36,36.1,0.772,-11.4%,-1.28,0.6196
0,15/26/100,20,2.5,4.0,0-23h,95,49.5,1.586,-7.0%,2.51,31,48.4,1.486,-5.9%,2.09,0.6196
0,9/34/100,14,2.0,3.0,7-16h,91,51.6,1.624,-7.3%,2.44,-,-,-,-,-,0.6191
0,9/34/100,14,3.0,3.5,6-17h,75,60.0,1.744,-3.0%,2.05,-,-,-,-,-,0.6186
0,12/42/100,14,2.5,3.5,6-17h,81,54.3,1.675,-4.9%,2.25,-,-,-,-,-,0.6186
0,5/50/100,10,2.5,4.0,6-17h,79,50.6,1.664,-5.7%,2.29,24,50.0,1.582,-2.4%,1.88,0.618
0,12/50/80,14,2.0,3.0,0-23h,137,48.9,1.458,-10.1%,2.84,44,38.6,0.93,-11.0%,-0.47,0.618
0,15/50/100,14,3.0,4.0,7-16h,47,59.6,1.951,-3.0%,1.64,-,-,-,-,-,0.6175
0,9/34/150,10,2.0,3.5,6-17h,84,47.6,1.616,-5.9%,2.38,-,-,-,-,-,0.6174
0,9/34/150,14,2.5,4.0,0-23h,93,49.5,1.559,-4.9%,2.45,29,48.3,1.482,-3.4%,1.92,0.6171
0,15/34/80,14,2.0,3.5,6-17h,94,46.8,1.545,-5.2%,2.48,28,35.7,0.958,-6.6%,-0.19,0.6167
0,9/34/150,14,2.0,3.5,7-16h,79,48.1,1.636,-5.9%,2.33,-,-,-,-,-,0.6166
0,9/50/80,14,2.5,3.0,6-17h,96,57.3,1.616,-4.0%,2.3,29,44.8,0.963,-6.3%,-0.15,0.6165
0,5/42/100,14,2.5,4.0,6-17h,79,50.6,1.652,-5.7%,2.29,26,42.3,1.159,-3.4%,0.63,0.6164
0,15/26/80,14,2.0,4.0,6-17h,92,43.5,1.582,-9.8%,2.57,26,46.2,1.718,-3.0%,2.64,0.6164
0,9/34/150,10,2.0,4.0,0-23h,106,42.5,1.472,-6.9%,2.67,31,41.9,1.423,-3.0%,2.06,0.616
0,5/42/100,10,3.0,3.0,6-17h,78,64.1,1.779,-4.9%,2.01,26,50.0,0.99,-2.1%,-0.03,0.6156
0,5/50/100,20,2.5,4.0,0-23h,115,47.8,1.471,-4.6%,2.58,31,45.2,1.305,-3.4%,1.37,0.6152
0,9/42/150,20,2.5,4.0,7-16h,70,51.4,1.684,-3.9%,2.15,-,-,-,-,-,0.6152
0,5/50/100,20,3.0,4.0,6-17h,81,55.6,1.663,-4.0%,2.19,24,50.0,1.321,-3.0%,1.01,0.6151
0,9/42/100,14,2.5,3.0,7-16h,82,58.5,1.689,-4.5%,2.16,25,48.0,1.097,-3.9%,0.33,0.6151
0,12/42/80,14,2.5,4.0,0-23h,103,48.5,1.526,-4.9%,2.48,36,36.1,0.887,-10.7%,-0.64,0.6149
0,5/42/80,10,3.0,3.5,7-16h,69,60.9,1.807,-6.5%,2.0,27,51.9,1.245,-2.0%,0.84,0.6147
0,12/34/100,14,2.5,3.5,6-17h,77,54.5,1.691,-5.1%,2.17,23,52.2,1.515,-3.0%,1.5,0.6146
0,5/42/150,14,2.5,3.5,6-17h,75,54.7,1.713,-5.2%,2.13,25,48.0,1.276,-3.0%,0.96,0.6145
0,15/26/80,20,2.5,4.0,0-23h,105,48.6,1.529,-7.0%,2.54,34,50.0,1.612,-5.9%,2.7,0.6141
0,15/26/100,10,3.0,4.0,6-17h,71,56.3,1.74,-4.0%,2.03,-,-,-,-,-,0.6141
0,5/50/100,10,2.0,4.0,6-17h,100,43.0,1.543,-11.6%,2.67,29,44.8,1.599,-2.0%,2.63,0.6136
0,12/34/80,20,2.0,4.0,6-17h,95,43.2,1.537,-8.7%,2.57,28,42.9,1.49,-3.0%,2.07,0.6131
0,9/34/100,14,2.0,3.5,7-16h,84,47.6,1.605,-7.0%,2.38,-,-,-,-,-,0.613
0,15/26/100,20,2.0,4.0,0-23h,112,42.0,1.438,-6.0%,2.66,34,41.2,1.379,-5.9%,2.06,0.613
0,9/34/100,10,2.5,3.0,6-17h,90,57.8,1.655,-5.9%,2.24,-,-,-,-,-,0.6127
